[mandelbrot serial]:		[592.798] ms
Wrote image file mandelbrot-serial.ppm
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
Hello world from thread 0
Hello world from thread 1
[mandelbrot thread]:		[308.635] ms
Wrote image file mandelbrot-thread.ppm
Mismatch : [644][400], Expected : 51, Actual : 50
Mismatch : [645][365], Expected : 84, Actual : 83
Mismatch : [645][375], Expected : 88, Actual : 87
Mismatch : [646][328], Expected : 53, Actual : 54
Mismatch : [646][342], Expected : 51, Actual : 50
Mismatch : [646][365], Expected : 126, Actual : 127
Mismatch : [647][1254], Expected : 123, Actual : 119
Mismatch : [649][404], Expected : 256, Actual : 204
Mismatch : [651][334], Expected : 215, Actual : 220
Mismatch : [651][361], Expected : 32, Actual : 33
Mismatch : [651][401], Expected : 160, Actual : 202
Mismatch : [651][402], Expected : 110, Actual : 111
Mismatch : [651][668], Expected : 218, Actual : 219
Mismatch : [652][334], Expected : 112, Actual : 85
Mismatch : [653][398], Expected : 156, Actual : 145
Mismatch : [653][1266], Expected : 90, Actual : 92
Mismatch : [654][659], Expected : 109, Actual : 110
Mismatch : [654][1259], Expected : 133, Actual : 156
Mismatch : [655][1258], Expected : 103, Actual : 104
Mismatch : [656][407], Expected : 247, Actual : 176
Mismatch : [656][1261], Expected : 131, Actual : 130
Mismatch : [656][1266], Expected : 121, Actual : 120
Mismatch : [657][1254], Expected : 136, Actual : 137
Mismatch : [658][361], Expected : 56, Actual : 57
Mismatch : [658][407], Expected : 155, Actual : 156
Mismatch : [659][400], Expected : 123, Actual : 157
Mismatch : [659][659], Expected : 109, Actual : 110
Mismatch : [659][1264], Expected : 87, Actual : 137
Mismatch : [660][669], Expected : 251, Actual : 254
Mismatch : [660][1264], Expected : 120, Actual : 106
Mismatch : [661][411], Expected : 162, Actual : 161
Mismatch : [662][410], Expected : 256, Actual : 193
Mismatch : [662][1262], Expected : 173, Actual : 206
Mismatch : [663][406], Expected : 236, Actual : 256
Mismatch : [663][657], Expected : 256, Actual : 254
Mismatch : [664][405], Expected : 123, Actual : 120
Mismatch : [664][1261], Expected : 183, Actual : 195
Mismatch : [664][1264], Expected : 111, Actual : 110
Mismatch : [665][406], Expected : 90, Actual : 91
Mismatch : [665][655], Expected : 184, Actual : 182
Mismatch : [665][657], Expected : 256, Actual : 240
Mismatch : [665][669], Expected : 215, Actual : 214
Mismatch : [666][1263], Expected : 168, Actual : 189
Mismatch : [667][401], Expected : 141, Actual : 138
Mismatch : [668][405], Expected : 197, Actual : 177
Mismatch : [669][406], Expected : 111, Actual : 110
Mismatch : [669][1259], Expected : 220, Actual : 225
Mismatch : [669][1260], Expected : 153, Actual : 154
Mismatch : [670][655], Expected : 256, Actual : 193
Mismatch : [670][657], Expected : 174, Actual : 176
Mismatch : [678][412], Expected : 75, Actual : 74
Mismatch : [678][651], Expected : 176, Actual : 175
Mismatch : [678][652], Expected : 138, Actual : 163
